name,city,website,Instagram,contact_email_or_contact_form,best_outreach_channel,why_they_are_a_good_fit
TriCo Newman Ministry at Swarthmore College,"Swarthmore, PA",https://connection.newmanministry.com/colleges/swarthmore-college/,https://www.instagram.com/newmancatholic_bmc/,revjohnames@gmail.com,Email,Tight-knit Catholic community across the Tri-Co colleges with clear event communication
TriCo Newman Ministry at Bryn Mawr College,"Bryn Mawr, PA",https://connection.newmanministry.com/colleges/bryn-mawr-college/,https://www.instagram.com/newmancatholic_bmc/,aromeo@brynmawr.edu,Email,"Active Catholic student group with weekly Mass, prayer, and social events"
TriCo Newman Ministry at Haverford College,"Haverford, PA",https://connection.newmanministry.com/colleges/haverford-college/,https://www.instagram.com/newmancatholic_bmc/,aromeo@brynmawr.edu,Email,Tri-Co ministry gives access to high-engagement students through a shared Catholic community
InterVarsity at Swarthmore University,"Swarthmore, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM or contact form,Campus chapter in the Greater Philadelphia InterVarsity network with active staff support
InterVarsity at Bryn Mawr College,"Bryn Mawr, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM or contact form,Student-focused Christian chapter in a strong academic setting
InterVarsity at Haverford College,"Haverford, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM or contact form,Part of the Greater Philadelphia InterVarsity network and likely receptive to devotional resources
InterVarsity at Neumann University,"Aston, PA",https://midatlantic.intervarsity.org/get-connected,Instagram not surfaced,Get Connected form,Contact form,Christian student ministry on a Catholic campus gives crossover relevance
InterVarsity at Temple University,"Philadelphia, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM,Visible chapter with named staff and a large urban student base
InterVarsity at the University of Pennsylvania,"Philadelphia, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM,Well-established chapter serving students in a high-density campus environment
InterVarsity at Ursinus College,"Collegeville, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM,Good small-campus student audience for word-of-mouth devotional sharing
InterVarsity at Villanova University,"Villanova, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM,Faith-active student population on a highly relevant Main Line campus
InterVarsity at Widener University,"Chester, PA",https://midatlantic.intervarsity.org/get-connected,Instagram linked on chapter page,Get Connected form,Instagram DM,Student ministry presence on a commuter-friendly campus
InterVarsity at the University of Delaware,"Newark, DE",https://midatlantic.intervarsity.org/get-connected,Instagram linked via UDiv page,https://www.udiv.org/,Website contact form,Large chapter ecosystem with broad undergraduate reach
Cru at Temple University,"Philadelphia, PA",https://campus.cru.org/college/temple/,Instagram linked on chapter page,Contact Us on Cru chapter page,Contact form,Clear campus ministry funnel for spiritually curious students
Cru at West Chester University,"West Chester, PA",https://campus.cru.org/college/west-chester/,Instagram linked on chapter page,Contact Us on Cru chapter page,Contact form,Large public-university student audience with active faith exploration
Cru at Philadelphia College of Osteopathic Medicine,"Philadelphia, PA",https://campus.cru.org/college/philadelphia-college-of-osteopathic-medicine-philadelphia/,Instagram linked on chapter page,Contact Us on Cru chapter page,Contact form,Strong grad and professional-student audience that may value a daily encouragement app
Cru at the University of Pennsylvania,"Philadelphia, PA",https://campus.cru.org/college/penn/,Instagram linked on chapter page,desmin.peifer@cru.org,Email,Direct named contact and highly networked student community
Cru at Rowan College Cumberland Campus,"Vineland, NJ",https://campus.cru.org/college/rowan-college-cumberland/,Instagram linked on chapter page,Contact Us on Cru chapter page,Contact form,South Jersey commuter-student audience broadened by expanded scope
Freedom Church College Ministry / Every Nation Campus,"Philadelphia, PA",https://wearefreedomchurch.org/college-ministry/,Instagram linked on website,Contact form on website,Contact form,"Runs Bible studies on Penn, Temple, and Drexel campuses and is clearly student-focused"
ENC Philly,"Philadelphia, PA",https://www.encphilly.org/,Instagram linked on website,Contact form on website,Instagram DM or contact form,Explicit college ministry serving students across Philadelphia with small groups and campus outreach
AO Philly,"Philadelphia, PA",https://www.aophilly.com/,Instagram linked on website,Get Connected form on website,Contact form,Campus ministry operating around Philadelphia and South Jersey with visible events
Renewal College Fellowship,"Philadelphia, PA",https://renewalchurch.org/rcf/,Instagram linked for some campus fellowships,https://renewalchurch.org/contact-us/,Contact form,Undergraduate ministry reaching students from multiple city campuses
DiscipleMakers,Pennsylvania / Greater Philly reach,https://www.dm.org/,Instagram linked on main site,info@dm.org,Email,Established Pennsylvania campus ministry with strong Bible study and discipleship emphasis
Philly Young Adults at Calvary Chapel Philadelphia,"Philadelphia, PA",https://youngadults.ccphilly.org/,Instagram linked on website,"Contact Josh F., Dan U., and Jim G. on website",Website contact form,"Young-adult ministry built around Bible study, worship, prayer, and home groups"
South Jersey Young Adults,"South Jersey, NJ",https://sjya.org/,Instagram linked on site,southjersey.youngadults@gmail.com,Instagram DM or email,Network of 20s and 30s across churches in South Jersey with regular gatherings and strong devotional fit
Czestochowa Young Adults,"Doylestown, PA",https://czestochowa.us/young-adult-ministry/,Instagram linked on website,Contact page on shrine website,Contact form,Large Catholic young-adult community in the greater Philly area with monthly spiritual and social events
St. Thomas of Villanova Young Adult Catholics,"Villanova, PA",https://www.stthomasofvillanova.org/young-adults.html,Instagram linked on parish channels,youth@stvparish.org,Email,"Main Line Catholic young-adult group gathering around spirituality, service, and fun"
Credo Young Adults of Bucks County,"Lower Bucks County, PA",https://credobucks.weebly.com/,Instagram not surfaced,Contact page on website,Contact form,Regional Catholic young-adult group specifically designed for faith growth and community service
Bucks Church Young Adult Ministry,"Bucks County, PA",https://buckschurch.org/young-adult-ministry/,Instagram not surfaced,pastorrich@buckschurch.org,Email,Weekly Bible-study-based young-adult group with direct pastoral contact
The Bridge at Christ Church Philadelphia,"Philadelphia, PA",https://christchurchphila.org/young-adults/,Instagram linked through church channels,Contact page on church website,Contact form,Young-adult gathering in a prominent historic city church with spiritual-growth emphasis
Saint Mark's 20s/30s Group,"Philadelphia, PA",https://www.saintmarksphiladelphia.org/20s30s,Instagram linked through church channels,Contact page on church website,Contact form,"Young-adult group centered on faith, relationships, and community impact"
Philadelphia Christian Young Adults,"Philadelphia, PA",https://philly4christ.github.io/,Instagram not surfaced,Website contact links,Website contact,"Aggregates Christian young-adult groups and events across the region, useful as a distribution hub"
South Jersey FCA Campus Ministry,"South Jersey, NJ",https://www.southjerseyfca.org/Campus,Instagram linked through FCA channels,Contact page on FCA site,Contact form,Athlete-centered Christian ministry with campus strategy and younger audience overlap
Liberti Church Main Line,"Bryn Mawr, PA",https://www.libertimainline.org/,Instagram linked on website,Contact page on website,Contact form,Active Main Line church with visible community engagement and younger-adult appeal
LAUNCH at The Log Church,"Doylestown, PA",https://www.logchurchpa.org/launch/,Instagram linked via church channels,Contact page on church website,Contact form,Young-adult ministry explicitly built for ages roughly 18 to 30 around Bible study and community
